a 0,98 438 1,917 7,309
aardvark 0,96 434 1,684 2,634
aardwolf 0,21 428 -0,788 1,292
abaca 0,24 396 -0,706 1,593
aback 0,86 343 1,077 2,496
abacus 0,93 401 1,428 2,406
abaft 0,19 363 -0,876 1,769
abalone 0,69 383 0,496 2,723
abandon 1,00 378 2,427 3,909
abandoned 1,00 401 2,576 4,124
abandonee 0,66 362 0,409 1,292
abandoner 0,86 404 1,081 1,593
abandonment 0,99 419 2,185 2,991
abase 0,75 420 0,667 1,894
abased 0,79 370 0,784 1,292
abasement 0,81 408 0,871 1,292
abash 0,89 462 1,193 1,292
abashed 0,94 391 1,528 1,292
abashedly 0,86 254 1,074 1,292
abashment 0,79 393 0,810 1,292
abatable 0,72 395 0,573 1,292
abate 0,93 386 1,427 2,070
abatement 0,89 407 1,191 1,894
abattoir 0,59 396 0,221 2,195
abbacy 0,19 413 -0,879 1,292
abbatial 0,19 401 -0,877 1,292
abbe 0,19 410 -0,883 1,769
abbess 0,52 414 0,060 1,769
abbey 0,95 386 1,610 3,504
abbot 0,81 422 0,877 2,935
abbotship 0,42 368 -0,211 1,292
abbreviate 0,99 402 2,174 1,593
abbreviated 0,99 382 2,320 2,522
abbreviation 1,00 449 2,349 2,406
abbreviator 0,91 392 1,305 1,292
abdicable 0,44 386 -0,161 1,292
abdicant 0,64 467 0,355 1,292
abdicate 0,91 394 1,338 2,292
abdication 0,90 393 1,263 2,137
abdicative 0,65 373 0,392 1,292
abdicator 0,90 446 1,254 1,292
abdomen 1,00 380 2,576 3,527
abdominal 0,99 407 2,248 3,535
abdominally 0,97 431 1,814 1,292
abduct 0,99 385 2,321 2,860
abductee 0,98 415 1,935 2,614
abduction 1,00 406 2,435 3,561
abductor 0,98 405 1,968 2,571
abeam 0,44 390 -0,140 2,195
abecedarian 0,18 439 -0,912 1,292
abecedary 0,21 417 -0,785 1,292
abed 0,67 408 0,426 2,333
abele 0,12 397 -1,152 1,593
aberrance 0,67 390 0,433 1,292
aberrancy 0,55 363 0,113 1,292
aberrant 0,79 370 0,784 2,496
aberration 0,92 365 1,381 2,754
aberrational 0,71 385 0,537 1,292
abet 0,74 392 0,635 2,070
abetment 0,45 364 -0,116 1,292
abettor 0,51 394 0,019 1,593
abeyance 0,56 361 0,155 1,769
abeyant 0,40 442 -0,250 1,292
abhor 0,89 403 1,185 2,406
abhorrence 0,94 364 1,537 1,292
abhorrent 0,95 417 1,599 2,292
abhorrently 0,93 267 1,463 1,292
abhorrer 0,69 434 0,500 1,292
abhorring 0,89 403 1,185 1,292
abidance 0,52 400 0,037 1,292
abide 0,99 430 2,191 3,435
abider 0,81 416 0,858 1,292
abiding 0,99 415 2,068 2,707
abidingly 0,87 421 1,128 1,292
abidingness 0,58 397 0,198 1,292
ability 1,00 404 2,330 4,284
abiogenesis 0,41 406 -0,234 1,292
abiogenetically 0,42 217 -0,201 1,292
abiotic 0,70 148 0,526 1,292
abject 0,89 410 1,195 2,614
abjection 0,74 390 0,639 1,292
abjectly 0,85 394 1,002 1,894
abjectness 0,79 412 0,784 1,292
abjudicate 0,73 388 0,596 1,292
abjuration 0,53 431 0,078 1,292
abjuratory 0,40 388 -0,239 1,292
abjure 0,56 431 0,153 1,593
abjurer 0,49 416 -0,018 1,292
ablate 0,55 480 0,124 1,593
ablation 0,63 375 0,320 1,593
ablative 0,58 434 0,196 1,292
ablator 0,41 368 -0,217 1,292
ablaut 0,14 385 -1,075 1,292
ablaze 0,98 365 2,028 2,634
able 1,00 434 2,443 5,203
abler 0,65 410 0,391 1,593
